## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:20:21
Temperature	21.33
Note	

[Acquisition Settings]
Amplitude (V)	2.500
Frequency (Hz)	1.2
DC Offset (V)	1.250
Duty Cycle (%)	40
Phase (°)	0
Cycles	2

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
1.84156E-1	2.49065E+0	9.09440E-6	9.99906E-1	2.69149E-9
1.84812E-1	2.48930E+0	9.35653E-6	1.00007E+0	1.34034E-9
1.85467E-1	2.49065E+0	9.88078E-6	9.99902E-1	1.44684E-9
1.86122E-1	2.48930E+0	3.58973E-6	1.00013E+0	1.66981E-9
1.86778E-1	2.49065E+0	1.36816E-5	1.00005E+0	1.71212E-9
1.87433E-1	2.49065E+0	1.09293E-5	9.99904E-1	1.26665E-9
1.88088E-1	2.48930E+0	7.91483E-6	9.99921E-1	2.93681E-9
1.88744E-1	2.48930E+0	8.30802E-6	1.00014E+0	8.80132E-10
1.89399E-1	2.49132E+0	6.07994E-6	9.99959E-1	1.98929E-9
1.90054E-1	2.48662E+0	9.74972E-6	9.99931E-1	1.92844E-9
1.90710E-1	2.48796E+0	1.15846E-5	1.00011E+0	1.80150E-9
1.91365E-1	2.48930E+0	9.35653E-6	9.99931E-1	1.92131E-9
1.92020E-1	2.49132E+0	1.13225E-5	1.00002E+0	2.34205E-9
1.92676E-1	2.48998E+0	2.14804E-6	9.99948E-1	4.30858E-10
1.93331E-1	2.49401E+0	9.35653E-6	1.00008E+0	2.20513E-9
1.93987E-1	2.48930E+0	2.07591E-5	9.99940E-1	2.32209E-9
1.94642E-1	2.48796E+0	7.52164E-6	1.00003E+0	6.41946E-10
1.95297E-1	2.48863E+0	1.14535E-5	1.00001E+0	2.47898E-9
1.95953E-1	2.49267E+0	1.30263E-5	9.99976E-1	1.94460E-9
1.96608E-1	2.48662E+0	6.73526E-6	1.00003E+0	2.67010E-9
1.97263E-1	2.48863E+0	7.78377E-6	9.99961E-1	1.74302E-9
1.97919E-1	2.48729E+0	8.70121E-6	1.00005E+0	9.91856E-10
1.98574E-1	2.48930E+0	1.01429E-5	9.99986E-1	2.56170E-9
1.99229E-1	2.48998E+0	9.74972E-6	9.99906E-1	1.39787E-9
1.99885E-1	2.48998E+0	8.04589E-6	1.00000E+0	1.69453E-9
2.00540E-1	2.48998E+0	2.31182E-5	1.00013E+0	1.06032E-9
2.01196E-1	2.48998E+0	7.52164E-6	1.00002E+0	2.10149E-9
2.01851E-1	2.48930E+0	3.06548E-6	9.99938E-1	1.89801E-9
2.02506E-1	2.49199E+0	9.09440E-6	9.99929E-1	2.49657E-9
2.03162E-1	2.48930E+0	7.12845E-6	1.00003E+0	1.89563E-9
2.03817E-1	2.48729E+0	7.12845E-6	1.00005E+0	1.77963E-9
2.04472E-1	2.48998E+0	2.36425E-5	9.99963E-1	1.30563E-9
2.05128E-1	2.49132E+0	9.74972E-6	9.99984E-1	2.70290E-9
2.05783E-1	2.48998E+0	1.75485E-6	1.00001E+0	1.00517E-9
2.06438E-1	2.48796E+0	6.47313E-6	1.00006E+0	1.60610E-9
2.07094E-1	2.48729E+0	2.27910E-6	9.99984E-1	2.49419E-9
2.07749E-1	2.49065E+0	1.26331E-5	9.99906E-1	1.27140E-9
2.08404E-1	2.48863E+0	1.36816E-5	1.00007E+0	8.41623E-10
2.09060E-1	2.49132E+0	7.78377E-6	1.00007E+0	2.60211E-9
2.09715E-1	2.48998E+0	8.17696E-6	9.99921E-1	2.33635E-9
2.10371E-1	2.49065E+0	1.04050E-5	1.00006E+0	1.28139E-9
2.11026E-1	2.49267E+0	4.11399E-6	9.99963E-1	2.37343E-9
2.11681E-1	2.49065E+0	1.48612E-5	9.99963E-1	7.35604E-10
2.12337E-1	2.49132E+0	6.47313E-6	9.99931E-1	2.31781E-9
2.12992E-1	2.48863E+0	1.62378E-6	1.00007E+0	9.07231E-10
